nama_lengkap,age,experience,last_education,status,total_ability,nilai_online,nilai_f2f,nilai_sikap,status_passed
Centaursexuberance,35,0,sarjana,lajang,9,93,93,cukup baik,lulus
Wobblychoodle,25,2,pasca,lajang,7,77,83,baik,gagal
Climbfoof,25,4,sarjana,menikah,6,71,84,cukup baik,lulus
Skilkpiglet,40,7,akademi,menikah,7,76,96,cukup baik,lulus
Padstrunc,22,0,sarjana,lajang,9,94,78,baik,gagal
Emeraldreply,42,8,pasca,menikah,5,72,95,cukup baik,lulus
Usatheory,23,0,sarjana,lajang,10,85,90,sangat baik,lulus
Colitisrosy,36,3,sarjana,menikah,5,95,77,sangat baik,gagal
Swarpettempting,22,0,pasca,lajang,7,85,76,cukup baik,lulus
Thumbscactus,39,7,sma,menikah,10,87,82,baik,lulus
Synchronousimprobable,28,9,pasca,lajang,10,74,75,baik,lulus
Vestaneed,25,0,sarjana,lajang,7,96,76,cukup baik,gagal
Stokemin,48,7,sarjana,lajang,9,73,82,sangat baik,lulus
Throatedinvoices,18,3,sma,lajang,6,72,92,sangat baik,lulus
Listshiny,20,6,sma,menikah,5,95,85,baik,lulus
Verdantsloth,36,3,sarjana,menikah,6,77,91,baik,lulus
Speculaterosary,22,10,sarjana,lajang,9,71,75,cukup baik,gagal
Tamarintarties,24,6,pasca,lajang,6,79,75,baik,gagal
Virusrandom,22,2,sma,menikah,6,99,78,sangat baik,lulus
Nerdraffle,45,10,sma,menikah,5,82,96,sangat baik,lulus
Provideadze,29,10,akademi,lajang,10,99,75,baik,gagal
Focketsmolds,32,2,sarjana,lajang,6,81,81,cukup baik,lulus
Fanfarepry,25,0,pasca,lajang,10,74,94,baik,gagal
Frozenhitting,29,0,sarjana,menikah,8,72,76,cukup baik,lulus
Graterub,25,7,sma,lajang,8,89,85,sangat baik,gagal
Residueprudence,42,7,akademi,lajang,10,92,74,sangat baik,lulus
Schantsmolecular,35,0,akademi,menikah,7,74,89,cukup baik,lulus
Pityingdisrupt,50,1,pasca,lajang,7,71,80,sangat baik,gagal
Windowsartery,25,3,pasca,lajang,7,83,82,sangat baik,lulus
Bonetaste,34,7,sarjana,lajang,9,73,88,baik,lulus
Gumpsother,36,7,akademi,menikah,7,81,79,cukup baik,gagal
Deatnet,38,9,pasca,lajang,9,73,92,cukup baik,gagal
Dearestmassage,22,6,akademi,lajang,5,97,98,baik,lulus
Lithiumattack,25,2,pasca,menikah,8,70,71,cukup baik,gagal
Stooveralso,18,10,sarjana,lajang,10,95,79,cukup baik,gagal
Coughnag,43,0,sma,lajang,10,89,70,baik,gagal
Steaklaboratory,42,7,pasca,menikah,10,77,99,cukup baik,gagal
Troupeformula,22,10,sarjana,menikah,10,85,84,baik,lulus
Tawdrysines,20,9,akademi,menikah,9,10,90,sangat baik,gagal
Shysterdelight,20,5,akademi,lajang,9,82,89,sangat baik,lulus
Singerparka,38,3,sma,menikah,7,99,88,sangat baik,lulus
Sensorsnun,41,0,sma,lajang,10,10,79,sangat baik,gagal
Chishfarch,21,0,sarjana,lajang,10,90,78,sangat baik,lulus
Ponensjedi,25,5,pasca,lajang,5,10,10,cukup baik,gagal
Splairscroast,45,1,sarjana,lajang,8,95,75,baik,gagal
Networklike,39,1,akademi,menikah,10,74,73,sangat baik,gagal
Stoeuniversity,22,2,sarjana,menikah,8,80,85,sangat baik,lulus
Headwallpie,34,6,akademi,menikah,8,86,72,baik,lulus
Waltzcanon,34,0,akademi,lajang,10,71,78,sangat baik,lulus
Drummetacarpal,33,7,sarjana,lajang,7,80,99,sangat baik,lulus
Chiefruler,19,0,pasca,menikah,8,93,89,baik,gagal
Rageappeared,44,1,sma,lajang,6,93,94,cukup baik,gagal
Gamedairy,18,0,sarjana,lajang,7,95,91,sangat baik,gagal
Valueearlier,26,0,pasca,lajang,10,80,90,sangat baik,lulus
Kitemailer,32,1,sma,menikah,6,77,96,sangat baik,gagal
Briskrealistic,33,0,pasca,lajang,10,79,74,baik,lulus
Richnesstempt,26,0,akademi,lajang,10,99,86,sangat baik,lulus
Zincunwilling,40,1,sarjana,menikah,8,78,88,baik,gagal
Translatorsomalian,18,2,sarjana,menikah,6,70,86,sangat baik,lulus
Sitemapbookmark,26,3,akademi,lajang,10,83,90,cukup baik,lulus
Patrickvertigo,19,7,sarjana,lajang,5,85,81,cukup baik,gagal
Slatetoy,48,9,akademi,lajang,5,91,87,baik,lulus
Bakerise,48,3,akademi,menikah,5,81,81,sangat baik,lulus
