nama_lengkap,age,experience,last_education,status,total_ability,nilai_online,nilai_f2f,nilai_sikap,status_passed
Karleen,33,4,akademi,menikah,5,82,72,baik,gagal
Lucienne,46,7,akademi,lajang,8,71,98,sangat baik,gagal
Glynda,21,9,sma,menikah,5,76,87,sangat baik,gagal
Tracy,26,0,pasca,lajang,10,93,81,baik,gagal
Janey,23,2,sarjana,menikah,5,87,86,baik,lulus
Daphine,25,8,sma,lajang,9,85,76,cukup baik,gagal
Jacquelin,29,2,sarjana,lajang,8,91,100,cukup baik,lulus
Timika,38,0,sma,menikah,9,71,84,sangat baik,lulus
Pam,34,4,sarjana,lajang,9,95,89,baik,lulus
Latrina,25,0,sma,lajang,7,70,97,cukup baik,lulus
Porsha,44,2,sma,lajang,9,100,82,baik,gagal
Carrol,21,0,sma,lajang,8,81,77,cukup baik,gagal
Evita,36,8,sma,menikah,10,82,70,cukup baik,lulus
Reagan,23,0,sarjana,lajang,5,82,89,sangat baik,lulus
Quiana,38,1,pasca,menikah,9,71,78,baik,lulus
Madonna,19,2,sma,menikah,5,94,89,sangat baik,gagal
Hilario,50,2,akademi,menikah,6,93,87,baik,lulus
Lu,22,0,sarjana,menikah,10,71,100,sangat baik,gagal
Bruna,40,0,sma,menikah,6,74,81,cukup baik,gagal
Juana,26,2,pasca,lajang,9,86,71,baik,gagal
Thea,25,0,pasca,lajang,8,77,94,cukup baik,lulus
Danita,47,0,pasca,menikah,10,75,97,sangat baik,lulus
Cordell,33,0,akademi,menikah,7,99,79,sangat baik,lulus
Raven,43,0,sarjana,lajang,7,98,72,sangat baik,lulus
Ellie,39,2,pasca,menikah,8,81,74,baik,gagal
Nathaniel,35,8,akademi,lajang,5,90,93,cukup baik,lulus
Terrance,22,1,pasca,menikah,7,82,84,sangat baik,gagal
Raymundo,40,1,pasca,menikah,9,83,86,baik,gagal
Cori,35,9,pasca,menikah,6,86,73,cukup baik,lulus
Harriet,38,2,sarjana,menikah,10,82,74,sangat baik,gagal
Leonia,25,0,sarjana,menikah,10,85,76,sangat baik,gagal
Bret,37,1,pasca,lajang,6,95,83,baik,lulus
Collen,29,0,pasca,menikah,6,80,85,sangat baik,lulus
Analisa,32,1,sma,menikah,8,91,76,baik,gagal
Leisha,19,0,akademi,lajang,8,92,76,cukup baik,lulus
Dane,47,0,akademi,lajang,9,93,95,cukup baik,gagal
Alethia,39,7,akademi,menikah,8,71,84,sangat baik,lulus
Danial,29,0,sma,menikah,10,100,84,sangat baik,lulus
Cruz,23,0,sma,lajang,5,70,82,sangat baik,gagal
August,19,8,akademi,lajang,5,71,78,baik,gagal
Dawne,18,1,pasca,lajang,10,71,97,sangat baik,lulus
Kyoko,22,9,sma,lajang,10,76,70,cukup baik,gagal
Debera,19,0,akademi,lajang,9,94,90,cukup baik,lulus
